"journal","n","journal_match_text.x","Rank","Sourceid","Title","Type","Issn","SJR","SJR Best Quartile","H index","Total Docs. (2023)","Total Docs. (3years)","Total Refs.","Total Cites (3years)","Citable Docs. (3years)","Cites / Doc. (2years)","Ref. / Doc.","%Female","Overton","SDG","Country","Region","Publisher","Coverage","Categories","Areas","journal_match_text.y","match_fit"
"2018 IEEE International Conference on Healthcare Informatics (ICHI)",3,"2018 ieee international conference on healthcare informatics ichi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2018 IEEE International Conference on Healthcare Informatics Workshop (ICHI-W)",1,"2018 ieee international conference on healthcare informatics workshop ichiw",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2018 IEEE International Conference on Industrial Engineering and Engineering Management (IEEM)",1,"2018 ieee international conference on industrial engineering and engineering management ieem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2018 IEEE International Conference on Internet of Things (iThings) and IEEE Green Computing and Communications (GreenCom) and IEEE Cyber, Physical and Social Computing (CPSCom) and IEEE Smart Data (SmartData)",1,"2018 ieee international conference on internet of things ithings and ieee green computing and communications greencom and ieee cyber physical and social computing cpscom and ieee smart data smartdata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2018 IEEE International Conference on Real-time Computing and Robotics (RCAR)",2,"2018 ieee international conference on realtime computing and robotics rcar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2018 IEEE International Conference on Smart Manufacturing, Industrial & Logistics Engineering (SMILE)",1,"2018 ieee international conference on smart manufacturing industrial logistics engineering smile",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2018 IEEE International Conference on Teaching, Assessment, and Learning for Engineering (TALE)",6,"2018 ieee international conference on teaching assessment and learning for engineering tale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2018 IEEE International Conference on Technology Management, Operations and Decisions (ICTMOD)",1,"2018 ieee international conference on technology management operations and decisions ictmod",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2018 IEEE International Conference""""""""Management of Municipal Waste as an Important Factor of Sustainable Urban Development"""""""" (WASTE)",2,"2018 ieee international conferencemanagement of municipal waste as an important factor of sustainable urban development waste",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2018 IEEE International Energy Conference (ENERGYCON)",1,"2018 ieee international energy conference energycon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2018 IEEE International Instrumentation and Measurement Technology Conference (I2MTC)",1,"2018 ieee international instrumentation and measurement technology conference i2mtc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2018 IEEE International Magnetic Conference (INTERMAG)",1,"2018 ieee international magnetic conference intermag",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2018 IEEE International Symposium on Innovation and Entrepreneurship (TEMS-ISIE)",1,"2018 ieee international symposium on innovation and entrepreneurship temsisie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2018 IEEE International Symposium on Medical Measurements and Applications (MeMeA)",3,"2018 ieee international symposium on medical measurements and applications memea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2018 IEEE International Symposium on Signal Processing and Information Technology (ISSPIT)",1,"2018 ieee international symposium on signal processing and information technology isspit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2018 IEEE International Symposium on Technologies for Homeland Security (HST)",2,"2018 ieee international symposium on technologies for homeland security hst",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2018 IEEE International Systems Engineering Symposium (ISSE)",2,"2018 ieee international systems engineering symposium isse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2018 IEEE International WIE Conference on Electrical and Computer Engineering (WIECON-ECE)",1,"2018 ieee international wie conference on electrical and computer engineering wieconece",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2018 IEEE Life Sciences Conference (LSC)",1,"2018 ieee life sciences conference lsc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2018 IEEE Punecon",1,"2018 ieee punecon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2018 IEEE Radar Conference (RadarConf18)",1,"2018 ieee radar conference radarconf18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2018 IEEE Region Ten Symposium (Tensymp)",1,"2018 ieee region ten symposium tensymp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2018 IEEE Second International Conference on Data Stream Mining & Processing (DSMP)",1,"2018 ieee second international conference on data stream mining processing dsmp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2018 IEEE Signal Processing in Medicine and Biology Symposium (SPMB)",2,"2018 ieee signal processing in medicine and biology symposium spmb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2018 IEEE Student Conference on Electric Machines and Systems",1,"2018 ieee student conference on electric machines and systems",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2018 IEEE Technology and Engineering Management Conference (TEMSCON)",6,"2018 ieee technology and engineering management conference temscon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2018 IEEE Transportation Electrification Conference and Expo (ITEC)",1,"2018 ieee transportation electrification conference and expo itec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2018 IEEE Workshop on Augmented and Virtual Realities for Good (VAR4Good)",1,"2018 ieee workshop on augmented and virtual realities for good var4good",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2018 IEEE World Engineering Education Conference (EDUNINE)",2,"2018 ieee world engineering education conference edunine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2018 IEEE XXVII International Scientific Conference Electronics - ET",1,"2018 ieee xxvii international scientific conference electronics et",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2018 IEEE-EMBS Conference on Biomedical Engineering and Sciences (IECBES)",7,"2018 ieeeembs conference on biomedical engineering and sciences iecbes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2018 IEEE/ACIS 17th International Conference on Computer and Information Science (ICIS)",1,"2018 ieeeacis 17th international conference on computer and information science icis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2018 IST-Africa Week Conference (IST-Africa)",2,"2018 istafrica week conference istafrica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2018 IV International Conference on Information Technologies in Engineering Education (Inforino)",1,"2018 iv international conference on information technologies in engineering education inforino",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2018 IX International Seminar of Biomedical Engineering (SIB)",1,"2018 ix international seminar of biomedical engineering sib",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2018 International Colloquium on Logistics and Supply Chain Management (LOGISTIQUA)",2,"2018 international colloquium on logistics and supply chain management logistiqua",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2018 International Conference Laser Optics (ICLO)",1,"2018 international conference laser optics iclo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2018 International Conference and Exposition on Electrical And Power Engineering (EPE)",1,"2018 international conference and exposition on electrical and power engineering epe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2018 International Conference of Electrical and Electronic Technologies for Automotive",1,"2018 international conference of electrical and electronic technologies for automotive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2018 International Conference on Advanced Computation and Telecommunication (ICACAT)",1,"2018 international conference on advanced computation and telecommunication icacat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2018 International Conference on Advanced Computer Science and Information Systems (ICACSIS)",1,"2018 international conference on advanced computer science and information systems icacsis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2018 International Conference on Advances in Big Data, Computing and Data Communication Systems (icABCD)",1,"2018 international conference on advances in big data computing and data communication systems icabcd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2018 International Conference on Advances in Computing and Communication Engineering (ICACCE)",4,"2018 international conference on advances in computing and communication engineering icacce",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2018 International Conference on Advances in Computing, Communication Control and Networking (ICACCCN)",1,"2018 international conference on advances in computing communication control and networking icacccn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2018 International Conference on Applied Information Technology and Innovation (ICAITI)",2,"2018 international conference on applied information technology and innovation icaiti",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2018 International Conference on Communications (COMM)",1,"2018 international conference on communications comm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2018 International Conference on Computational Techniques, Electronics and Mechanical Systems (CTEMS)",1,"2018 international conference on computational techniques electronics and mechanical systems ctems",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2018 International Conference on Computer Communication and Informatics (ICCCI)",1,"2018 international conference on computer communication and informatics iccci",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2018 International Conference on Computer, Control, Electrical, and Electronics Engineering (ICCCEEE)",1,"2018 international conference on computer control electrical and electronics engineering iccceee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2018 International Conference on Computer, Control, Informatics and its Applications (IC3INA)",1,"2018 international conference on computer control informatics and its applications ic3ina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2018 International Conference on Computing and Network Communications (CoCoNet)",1,"2018 international conference on computing and network communications coconet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2018 International Conference on Computing, Engineering, and Design (ICCED)",1,"2018 international conference on computing engineering and design icced",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2018 International Conference on Computing, Networking and Communications (ICNC)",1,"2018 international conference on computing networking and communications icnc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2018 International Conference on Current Trends towards Converging Technologies (ICCTCT)",2,"2018 international conference on current trends towards converging technologies icctct",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2018 International Conference on Cyber Security and Protection of Digital Services (Cyber Security)",1,"2018 international conference on cyber security and protection of digital services cyber security",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2018 International Conference on Diagnostics in Electrical Engineering (Diagnostika)",1,"2018 international conference on diagnostics in electrical engineering diagnostika",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2018 International Conference on Digital Arts, Media and Technology (ICDAMT)",1,"2018 international conference on digital arts media and technology icdamt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2018 International Conference on Electronics Packaging and iMAPS All Asia Conference (ICEP-IAAC)",1,"2018 international conference on electronics packaging and imaps all asia conference icepiaac",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2018 International Conference on Engineering, Applied Sciences, and Technology (ICEAST)",2,"2018 international conference on engineering applied sciences and technology iceast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2018 International Conference on High Performance Computing & Simulation (HPCS)",2,"2018 international conference on high performance computing simulation hpcs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2018 International Conference on High Technology for Sustainable Development (HiTech)",1,"2018 international conference on high technology for sustainable development hitech",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2018 International Conference on ICT for Rural Development (IC-ICTRuDev)",1,"2018 international conference on ict for rural development icictrudev",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2018 International Conference on ICT for Smart Society (ICISS)",2,"2018 international conference on ict for smart society iciss",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2018 International Conference on Information Management and Technology (ICIMTech)",7,"2018 international conference on information management and technology icimtech",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2018 International Conference on Information Technologies (InfoTech)",1,"2018 international conference on information technologies infotech",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2018 International Conference on Information Technology (InCIT)",1,"2018 international conference on information technology incit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2018 International Conference on Information Technology Systems and Innovation (ICITSI)",2,"2018 international conference on information technology systems and innovation icitsi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2018 International Conference on Information and Communication Technology Convergence (ICTC)",2,"2018 international conference on information and communication technology convergence ictc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2018 International Conference on Information and Communications Technology (ICOIACT)",2,"2018 international conference on information and communications technology icoiact",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2018 International Conference on Innovation and Intelligence for Informatics, Computing, and Technologies (3ICT)",2,"2018 international conference on innovation and intelligence for informatics computing and technologies 3ict",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2018 International Conference on Intelligent Computing and Communication for Smart World (I2C2SW)",9,"2018 international conference on intelligent computing and communication for smart world i2c2sw",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2018 International Conference on Intelligent Rail Transportation (ICIRT)",1,"2018 international conference on intelligent rail transportation icirt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2018 International Conference on Intelligent Systems (IS)",2,"2018 international conference on intelligent systems is",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2018 International Conference on Intelligent Transportation, Big Data & Smart City (ICITBS)",1,"2018 international conference on intelligent transportation big data smart city icitbs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2018 International Conference on Intelligent and Advanced System (ICIAS)",1,"2018 international conference on intelligent and advanced system icias",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2018 International Conference on Intelligent and Innovative Computing Applications (ICONIC)",4,"2018 international conference on intelligent and innovative computing applications iconic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2018 International Conference on Learning and Teaching in Computing and Engineering (LaTICE)",1,"2018 international conference on learning and teaching in computing and engineering latice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2018 International Conference on Management Science and Engineering (ICMSE)",7,"2018 international conference on management science and engineering icmse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2018 International Conference on Orange Technologies (ICOT)",4,"2018 international conference on orange technologies icot",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2018 International Conference on Power Generation Systems and Renewable Energy Technologies (PGSRET)",1,"2018 international conference on power generation systems and renewable energy technologies pgsret",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2018 International Conference on Power System Technology (POWERCON)",2,"2018 international conference on power system technology powercon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2018 International Conference on Power, Energy, Control and Transmission Systems (ICPECTS)",1,"2018 international conference on power energy control and transmission systems icpects",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2018 International Conference on Promising Electronic Technologies (ICPET)",1,"2018 international conference on promising electronic technologies icpet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2018 International Conference on Robots & Intelligent System (ICRIS)",2,"2018 international conference on robots intelligent system icris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2018 International Conference on Signal, Image, Vision and their Applications (SIVA)",1,"2018 international conference on signal image vision and ir applications siva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2018 International Conference on Smart City and Emerging Technology (ICSCET)",2,"2018 international conference on smart city and emerging technology icscet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2018 International Conference on Smart Computing and Electronic Enterprise (ICSCEE)",1,"2018 international conference on smart computing and electronic enterprise icscee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2018 International Conference on Smart Electric Drives and Power System (ICSEDPS)",1,"2018 international conference on smart electric drives and power system icsedps",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2018 International Conference on Smart Energy Systems and Technologies (SEST)",1,"2018 international conference on smart energy systems and technologies sest",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2018 International Conference on Smart Systems and Inventive Technology (ICSSIT)",1,"2018 international conference on smart systems and inventive technology icssit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2018 International Conference on Sustainable Information Engineering and Technology (SIET)",1,"2018 international conference on sustainable information engineering and technology siet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2018 International Conference on System Modeling & Advancement in Research Trends (SMART)",1,"2018 international conference on system modeling advancement in research trends smart",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2018 International Conference on Virtual Reality and Intelligent Systems (ICVRIS)",3,"2018 international conference on virtual reality and intelligent systems icvris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2018 International Conference on Virtual Reality and Visualization (ICVRV)",1,"2018 international conference on virtual reality and visualization icvrv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2018 International Conference on eDemocracy & eGovernment (ICEDEG)",4,"2018 international conference on edemocracy egovernment icedeg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2018 International Conference on the Domestic Use of Energy (DUE)",1,"2018 international conference on domestic use of energy due",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2018 International Congress on Big Data, Deep Learning and Fighting Cyber Terrorism (IBIGDELFT)",1,"2018 international congress on big data deep learning and fighting cyber terrorism ibigdelft",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2018 International Electrical Engineering Congress (iEECON)",2,"2018 international electrical engineering congress ieecon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2018 International Electronics Symposium on Knowledge Creation and Intelligent Computing (IES-KCIC)",1,"2018 international electronics symposium on knowledge creation and intelligent computing ieskcic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2018 International Joint Conference on Information, Media and Engineering (ICIME)",5,"2018 international joint conference on information media and engineering icime",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2018 International Joint Symposium on Artificial Intelligence and Natural Language Processing (iSAI-NLP)",1,"2018 international joint symposium on artificial intelligence and natural language processing isainlp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2018 International Russian Automation Conference (RusAutoCon)",1,"2018 international russian automation conference rusautocon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2018 International Scientific-Practical Conference Problems of Infocommunications. Science and Technology (PIC S&T)",1,"2018 international scientificpractical conference problems of infocommunications science and technology pic st",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
